DEPTID,BUILDING,ROOMID,VENUE NAME (Extracted from SPlus),CAPACITY,LINKCODE
01700ACAD1,YNC_EAST,Y-AChemLab,EAST CORE - LAB 2 (ANALYTICAL CHEM),24,EC-02-19
01700ACAD1,YNC_EAST,Y-BioLab,EAST CORE - LAB 1 (BIO),24,EC-02-18
01700ACAD1,YNC_WEST,Y-BlackBox,WEST CORE - BLACK BOX THEATRE,150,WC-01-13
01700ACAD1,YNC_EAST,Y-CompLab,EAST CORE - COMPUTER LAB,33,EC-02-06
01700ACAD1,YNC_SAGA,Y-CR1,SAGA COLLEGE - CLASSROOM 1,18,RC1-G-04
01700ACAD1,YNC_ELM,Y-CR11,ELM COLLEGE - CLASSROOM 11,12,RC2-02-01A
01700ACAD1,YNC_ELM,Y-CR12,ELM COLLEGE - CLASSROOM 12,18,RC2-02-02
01700ACAD1,YNC_ELM,Y-CR13,ELM COLLEGE - CLASSROOM 13,18,RC2-02-03
01700ACAD1,YNC_ELM,Y-CR14,ELM COLLEGE - CLASSROOM 14,18,RC2-02-06
01700ACAD1,YNC_EAST,Y-CR15,EAST CORE - CLASSROOM 15 (TEAL CLASSROOM),51,EC-01-12
01700ACAD1,YNC_EAST,Y-CR16,EAST CORE - CLASSROOM 16 (FLEX CLASSROOM),30,EC-01-13
01700ACAD1,YNC_EAST,Y-CR17,EAST CORE - CLASSROOM 17,40,EC-02-17
01700ACAD1,YNC_CEND,Y-CR18,CENDANA COLLEGE - CLASSROOM 18,24,RC3-01-04
01700ACAD1,YNC_CEND,Y-CR19,CENDANA COLLEGE - CLASSROOM 19,18,RC3-01-01
01700ACAD1,YNC_SAGA,Y-CR2,SAGA COLLEGE - CLASSROOM 2,18,RC1-01-05A
01700ACAD1,YNC_CEND,Y-CR20,CENDANA COLLEGE - CLASSROOM 20,18,RC3-01-02
01700ACAD1,YNC_CEND,Y-CR21,CENDANA COLLEGE - CLASSROOM 21,18,RC3-02-01
01700ACAD1,YNC_CEND,Y-CR22,CENDANA COLLEGE - CLASSROOM 22,18,RC3-02-03
01700ACAD1,YNC_CEND,Y-CR23,CENDANA COLLEGE - CLASSROOM 23,12,RC3-02-04F
01700ACAD1,YNC_SAGA,Y-CR3,SAGA COLLEGE - CLASSROOM 3,24,RC1-01-01
01700ACAD1,YNC_SAGA,Y-CR4,SAGA COLLEGE - CLASSROOM 4,18,RC1-01-03J
01700ACAD1,YNC_SAGA,Y-CR5,SAGA COLLEGE - CLASSROOM 5,18,RC1-01-04K
01700ACAD1,YNC_SAGA,Y-CR6,SAGA COLLEGE - CLASSROOM 6,18,RC1-02-01
01700ACAD1,YNC_SAGA,Y-CR7,SAGA COLLEGE - CLASSROOM 7,18,RC1-02-04
01700ACAD1,YNC_SAGA,Y-CR8,SAGA COLLEGE - CLASSROOM 8,18,RC1-02-05
01700ACAD1,YNC_ELM,Y-CR9,ELM COLLEGE - CLASSROOM 9,18,RC2-G-02
01700ACAD1,YNC_ELM,Y-CTLMtgRm,ELM COLLEGE - CTL MEETING ROOM,12,RC2-M-01D
01700ACAD1,YNC_WEST,Y-DanceStu,WEST CORE - STUDIO 1 (DANCE STUDIO),16,RC3-B-01
01700ACAD1,YNC_ELM,Y-ElmConf,ELM COLLEGE - CONFERENCE ROOM,18,RC2-01-07C
01700ACAD1,YNC_WEST,Y-ArtsStud,WEST CORE - STUDIO 2 (GEORGETTE CHEN ARTS STUDIO),16,RC3-B-02
01700ACAD1,YNC_EAST,Y-GLRm1,EAST CORE - GLOBAL LEARNING ROOM 1,40,EC-01-03A
01700ACAD1,YNC_EAST,Y-GLRm2,EAST CORE - GLOBAL LEARNING ROOM 2,35,EC-01-03B
01700ACAD1,YNC_ELM,Y-KChanrai,ELM COLLEGE - KEWALRAM CHANRAI ROOM,24,RC2-01-02
01700ACAD1,YNC_SAGA,Y-LT1,SAGA COLLEGE - LECTURE THEATRE 1,60,RC1-G-01
01700ACAD1,YNC_EAST,Y-OChemLab,EAST CORE - LAB 4 (ORGANIC CHEM),24,EC-03-20
01700ACAD1,YNC_WEST,Y-PerfHall,WEST CORE - PERFORMANCE HALL,339,WC-01-02
01700ACAD1,YNC_EAST,Y-PgRm1,EAST CORE - PROGRAMME ROOM 1,20,EC-02-11
01700ACAD1,YNC_EAST,Y-PgRm2,EAST CORE - PROGRAMME ROOM 2,20,EC-02-12
01700ACAD1,YNC_EAST,Y-PhysLab,EAST CORE - LAB 3 (PHYSICS),24,EC-03-19
01700ACAD1,YNC_WEST,Y-PracRm6,WEST CORE - PRACTICE ROOM 6,25,WC-02-08
01700ACAD1,YNC_SAGA,Y-SagaConf,SAGA COLLEGE - CONFERENCE ROOM,18,RC1-01-06
01700ACAD1,YNC_WEST,Y-Studio3,WEST CORE - STUDIO 3,16,RC3-B-03
01700ACAD1,YNC_WEST,Y-Studio4,WEST CORE - STUDIO 4,18,WC-02-11
01700ACAD1,YNC_WEST,Y-Studio5,WEST CORE - STUDIO 5,18,WC-01-16
01700ACAD1,YNC_ELM,Y-TCTLT,ELM COLLEGE - TAN CHIN TUAN LECTURE THEATRE,75,RC2-G-01
01700ACAD1,YNC_ELM,Y-WriteCtr,WRITERS CENTRE - ELM,50,RC2-02-05